Watchlist 'Warrants'

Warrants
Symbol,m sh val,ADR
AACQW,NaN,NaN
ACACW,0.17,111.4
ACAHW,0.0,114.98
ACBAW,0.0,109.33
ACEVW,0.01,110.93
ACKIW,0.01,106.45
ACQRW,0.02,107.82
ACTCW,NaN,NaN
ACTDW,0.04,111.77
ADERW,0.01,102.89
ADILW,0.0023,113.9106
ADNWW,0.1,117.2
ADOCW,0.011,111.4937
ADVWW,0.24,107.54
AEACW,0.04,111.1
AFAQW,0.0,112.41
AGBAW,5.0E-4,117.5627
AGCWW,0.08,108.29
AGGRW,0.0,103.39
AGILW,0.26,126.74
AGRIW,0.0,119.65
AHACW,NaN,NaN
AIRTW,0.0143,315.9883
AKICW,0.0,112.7
ALACW,0.0,119.51
ALFIW,0.01,118.67
ALTUW,0.0107,106.4504
AMAOW,0.008,102.7453
AMHCW,0.02,109.03
AMPGW,0.0,124.16
ANDAW,NaN,NaN
ANZUW,0.01,117.98
APOPW,0.0086,207.1415
APPHW,0.06,113.78
APXTW,NaN,NaN
ARBGW,0.03,114.97
ARKOW,0.02,108.63
ARRWW,0.0058,105.5019
ARTLW,0.0023,127.8782
ARVLW,1.91,156.15
ASAXW,0.0,107.82
ASLEW,0.19,104.37
ASPCW,0.0012,117.7393
ASTSW,0.18,113.24
ATNFW,0.0109,118.3185
ATSPW,0.0,110.92
ATVCW,0.14,110.85
AURCW,0.01,103.08
AUUDW,0.0,115.84
AVCTW,0.0058,122.0239
BCACW,0.0,108.96
BCDAW,0.0,141.15
BCTXW,0.31,122.08
BCYPW,0.0,130.28
BEEMW,0.01,107.0
BENEW,0.0033,111.3697
BFIIW,0.06,107.76
BHSEW,0.0027,106.3659
BIOTW,0.0,110.65
BLDEW,0.22,131.78
BLNKW,0.09,106.48
BLTSW,0.0,106.21
BLUWW,0.47,142.66
BNGOW,0.01,106.65
BODY/WS,0.03,111.35
BOWXW,0.01,106.51
BREZW,0.0069,110.882
BRLIW,4.0E-4,119.0674
BROGW,0.0541,119.9108
BRPAW,NaN,NaN
BRPMW,0.0,114.67
BTAQW,0.02,117.26
BTRSW,0.03,106.05
BTWNW,0.1,115.23
BWACW,0.0133,116.9889
BYTSW,0.0,110.81
CAHCW,0.05,106.3
CAPAW,0.15,108.67
CENHW,0.15,127.43
CEREW,0.16,115.93
CETXW,9.0E-4,146.3562
CFACW,NaN,NaN
CFFEW,0.0,117.02
CFFVW,0.01,113.41
CFIVW,0.0014,100.6129
CFVIW,0.0,110.32
CGROW,0.13,125.43
CHKEW,1.2,104.54
CHPMW,0.02,103.46
CIICW,2.2,118.07
CLNNW,0.0138,114.7245
CLOVW,1.27,109.7
CLRMW,0.01,109.94
CLVRW,0.06,117.32
CMIIW,NaN,NaN
CMLFW,NaN,NaN
CMLTW,0.03,107.81
COLIW,0.01,111.62
COMSW,0.01,125.34
CONXW,0.05,111.81
COOLW,0.0122,103.4873
COVAW,0.0146,106.0419
CREXW,3.0E-4,111.9711
CRSAW,1.09,116.19
CRTDW,0.0,137.8
CRU/WS,0.0,105.82
CRZNW,0.0,107.77
CTAQW,0.0418,103.0482
CTXRW,8.0E-4,129.0018
CUENW,0.0,122.03
CURIW,0.02,116.79
CYTHW,0.03,109.16
CYXTW,0.06,114.5
DBDRW,0.16,108.63
DBGIW,0.0,107.31
DCRBW,NaN,NaN
DCRCW,0.06,113.38
DCRNW,0.08,109.54
DDMXW,0.01,115.64
DFHTW,0.08,130.17
DFNS/WS,NaN,NaN
DFPHW,0.04,112.98
DHBCW,7.0E-4,102.6059
DHCAW,0.0019,105.1921
DHHCW,0.01,112.92
DISAW,0.0,108.01
DISCB,0.48,110.63
DLCAW,0.0044,109.8371
DSACW,0.0,107.08
DSKEW,0.0129,146.5437
DTOCW,0.01,112.14
DTSTW,0.01,146.76
DUNEW,0.02,114.77
EACPW,0.01,124.01
EBACW,0.0,102.19
ECOLW,0.0,131.85
EDTXW,1.0E-4,112.5244
EJFAW,0.0,114.53
ENFAW,0.05,104.96
ENNVW,0.0,108.79
ENTXW,0.0121,127.6649
ENVIW,0.0133,111.9642
EOSEW,0.02,110.61
EPHYW,0.0,107.09
EPWR/WS,3.0E-4,111.293
EQOSW,0.21,328.74
ERESW,0.06,108.33
ESSCW,0.0059,117.2464
ETACW,0.0149,107.1907
EUCRW,0.0,107.74
EUSGW,0.02,117.48
EVGOW,0.17,117.72
EVLVW,0.03,115.67
EVOJW,0.0,101.29
EXPCW,0.19,120.29
EYESW,0.0025,115.7997
FATBW,0.03,107.57
FCACW,NaN,NaN
FIIIW,NaN,NaN
FINMW,0.01,126.32
FLACW,0.02,108.62
FLMNW,0.0663,138.2391
FMAC/WS,0.27,113.61
FMIVW,0.0,102.86
FOREW,0.02,112.65
FOXWW,0.0,111.54
FREEW,0.16,113.43
FRONW,0.01,106.12
FRSGW,0.03,120.85
FRWAW,0.0,102.04
FSRVW,0.27,112.95
FSRXW,0.0,106.99
FSSIW,0.0,114.16
FST/WS,0.35,105.03
FTAAW,0.03,105.73
FTCVW,0.04,111.37
FTIVW,NaN,NaN
FTOCW,NaN,NaN
FTPA,0.01,99.54
FTPAW,0.01,130.93
GAMCW,0.0,112.7
GBRGW,0.0,123.67
GCACW,0.1,114.41
GCMGW,0.03,106.41
GDYNW,0.06,112.29
GGMCW,0.0,106.08
GGPIW,0.24,106.76
GHACW,0.0,128.63
GHVIW,NaN,NaN
GIGGW,0.02,111.59
GIIXW,0.0,106.39
GLAQW,0.02,115.38
GLBLW,0.0,114.74
GLHAW,0.0,105.98
GLSPW,0.0133,106.9638
GM,790.99,102.93
GMBLW,0.01,110.26
GMBTW,0.0,112.59
GMIIW,0.05,107.17
GMVDW,0.02,133.01
GNACW,0.0022,114.6395
GNRSW,0.01,109.5
GOEVW,0.07,110.68
GOVXW,0.01,130.48
GPACW,0.01,109.58
GRCYW,0.002,109.2744
GRNVW,NaN,NaN
GRSVW,NaN,NaN
GSAQW,0.0,108.38
GSEVW,0.01,102.1
GSMGW,0.0018,154.5834
GTPAW,0.05,107.29
GTPBW,0.11,121.18
GWACW,NaN,NaN
GXGXW,NaN,NaN
GXIIW,0.01,110.52
HAACW,0.16,109.07
HCARW,0.01,109.61
HCCCW,0.01,106.84
HCICW,0.06,108.36
HCIIW,0.01,116.2
HECCW,0.13,118.16
HERAW,0.06,110.45
HIIIW,0.09,117.0
HJLIW,0.0011,125.8068
HLAHW,0.01,108.41
HMCOW,0.01,116.42
HOFVW,0.0272,113.656
HOLUW,NaN,NaN
HPKEW,0.0,108.09
HTOOW,0.01,106.45
HYACW,0.01,119.19
HYMCW,0.03,135.28
IEAWW,0.16,113.77
IGACW,0.02,109.84
IGICW,0.0036,108.4489
IGNYW,0.0,107.45
IIIIW,0.0,106.15
IMACW,6.0E-4,126.7769
IMRNW,0.0,109.09
IMTXW,0.03,118.93
INKAW,0.0,106.51
INVZW,0.06,115.63
IPVIW,0.02,115.92
IRNT/WS,1.94,160.22
IRS/WS,0.0,115.54
ISLEW,0.0,103.86
ITACW,0.01,108.01
ITHXW,0.0,102.31
ITQRW,0.0,108.03
JCICW,0.05,111.13
JOFFW,0.02,114.69
JUPWW,0.0018,106.2543
KAIIW,0.01,132.6
KAIRW,0.0,118.49
KBNTW,0.01,114.92
KERNW,0.0221,116.9752
KIIIW,0.0,109.46
KINZW,0.0299,109.6076
KLAQW,0.0,107.56
KPLTW,0.51,122.16
KRNLW,0.01,107.24
KSICW,0.01,113.73
KSMTW,NaN,NaN
KURIW,0.0172,104.2984
LACQW,NaN,NaN
LATNW,0.0876,108.4632
LBPSW,0.01,114.27
LCAAW,0.0,114.8
LCAHW,0.03,112.23
LCAPW,0.0125,113.1972
LCIDW,6.98,107.45
LCYAW,1.38,114.45
LDHAW,0.0,106.17
LEGAW,0.01,104.55
LEGOW,0.11,107.89
LEV/WS,0.71,117.59
LEXXW,0.01,111.55
LFTRW,0.03,109.19
LGACW,0.01,113.43
LGHLW,0.006,127.9003
LIVKW,NaN,NaN
LIXTW,0.0014,114.1243
LJAQW,0.0,114.03
LMACW,0.01,125.17
LMAOW,0.0093,107.8525
LOACW,0.08,125.1
LOTZW,0.04,119.34
LSEAW,0.01,108.65
LUXAW,0.01,112.44
LVRAW,0.0,115.91
LWACW,NaN,NaN
MAACW,0.12,114.93
MACAW,0.02,106.59
MACQW,0.01,112.34
MACUW,0.0035,107.0146
MBTCR,0.01,120.75
MCMJW,0.03,103.42
MDGSW,7.0E-4,127.0253
METXW,0.006,125.8064
MILEW,0.03,116.83
MLACW,0.05,133.3
MONCW,0.01,106.81
MOTNW,0.01,101.39
MRACW,0.1,111.74
MSACW,0.0,121.93
MSDAW,0.01,111.13
MTACW,0.02,106.08
MUDSW,0.03,106.9
NAACW,0.01,116.78
NBACW,0.17,120.25
NBSTW,0.0,102.91
NDACW,0.0,112.88
NDRAW,0.0018,110.3907
NEBCW,NaN,NaN
NESRW,0.0,107.08
NGACW,NaN,NaN
NGCAW,0.15,113.16
NHICW,NaN,NaN
NLSPW,0.0,125.42
NMMCW,0.0,114.6
NOACW,0.0,105.56
NPAWW,0.31,118.3
NRACW,0.06,108.46
NRXPW,0.32,118.01
NVSAW,0.05,105.3891
NVVEW,0.18,111.51
OCAXW,0.0,107.04
OEPWW,0.0,109.07
OHPAW,0.01,118.37
ONTXW,0.0251,154.2963
OPAD/WS,0.37,144.44
OPENW,1.01,109.7
OSATW,0.01,118.17
OSTRW,0.0,107.55
OTLKW,0.0016,125.6361
OTRAW,0.0,101.61
OXBRW,0.0021,125.4026
PACXW,0.0188,113.2329
PAEWW,0.19,113.99
PAICW,0.0194,113.7627
PAQCW,0.0094,111.5627
PAVMW,0.0294,114.7949
PAYAW,0.07,109.15
PCTTW,0.06,118.65
PDAC/U,0.03,113.89
